date,num
01,99
02,12
03,64
04,0
05,8
02,14
03,72
04,49
05,5
06,32
07,64
08,74
07,96
08,6
09,98
10,27
11,1
12,24
13,74
14,88
26,45
27,90
28,97
01,97
02,9
03,19
04,82
05,4
09,50
10,50
11,68
12,30
13,79
14,28
15,81
16,39
06,35
07,74
08,0
09,12
10,2
11,57
12,72
13,95
22,45
23,33
24,52
25,22
26,20
27,66
28,68
29,10
16,82
17,20
18,35
19,24
20,77
21,2
22,33
23,41
13,27
14,49
15,98
16,39
17,85
18,57
19,22
20,39
11,2
12,70
13,94
14,99
15,35
16,65
17,9
18,36
10,50
11,17
12,7
13,29
14,1
15,89
16,89
17,51
06,60
07,90
22,66
23,4
24,14
25,43
26,32
27,39
28,40
29,15
30,97
25,1
26,32
27,60
28,8
29,8
30,35
31,36
01,41
02,2
03,72
04,2
20,91
21,74
22,11
23,2
24,81
25,55
26,34
27,72
28,74
29,85
11,49
12,92
13,12
14,7
15,41
16,77
17,44
18,19
19,36
20,36
06,71
07,35
08,32
09,67
10,46
11,4
12,73
13,34
14,2
15,69
16,30
09,0
10,39
11,4
12,67
13,26
14,94
15,6
16,16
17,8
15,44
16,94
17,27
18,50
19,88
20,34
21,65
22,32
23,97
24,41
25,71
06,98
07,46
08,29
09,87
10,33
11,14
12,37
13,60
14,25
15,92
16,44
17,26
18,59
19,92
20,62
21,29
22,37
23,64
24,41
25,99
14,54
15,58
16,36
17,99
18,34
19,68
20,37
21,41
22,9
23,50
24,42
30,6
01,32
02,19
03,17
04,16
05,16
06,75
07,40
08,14
09,29
24,63
25,55
26,64
27,81
28,8
29,83
30,5
31,83
01,0
21,22
22,6
23,37
24,36
25,93
26,19
27,49
28,18
29,97
30,73
31,49
19,15
20,99
21,66
22,1
23,86
24,1
25,23
26,63
27,26
28,61
18,33
19,56
20,72
21,87
22,3
23,27
24,81
25,47
26,24
27,45
08,11
09,25
10,57
11,30
12,95
13,34
14,27
15,65
16,36
17,85
18,11
19,58
01,88
02,33
03,44
04,84
05,31
06,38
07,85
08,11
09,65
05,87
06,4
07,83
08,88
09,0
10,77
11,60
12,75
13,16
30,48
01,78
02,13
03,6
04,41
05,34
06,92
07,82
08,13
09,11
10,95
21,78
22,80
23,55
24,0
25,10
26,89
27,76
28,6
29,56
30,15
31,68
17,21
18,3
19,10
20,16
21,11
22,10
23,36
24,95
25,14
26,60
18,99
